Id,Name,Account_Info__c,Balance__c,Chart_of_Account_Type__c,Code__c,Chart_of_Account_Type_Code__c,Allow_Delete__c,Parent_Chart_of_Account__c,Chart_of_Account_Type__r.COA_Code__c,Parent_Chart_of_Account__r.Code__c
a045e00000J1bRBAAZ,Liabilities,,0,a035e00000AOeOoAAL,200,200,false,,200,
a045e00000J1bRCAAZ,Owner's Equity,,0,a035e00000AOeOsAAL,300,300,true,,300,
a045e00000J1bRDAAZ,Revenues,,0,a035e00000AOeOtAAL,400,400,true,,400,
a045e00000J1bREAAZ,Cash,,0,a035e00000AOeOnAAL,101,100,true,a045e00000J1bR6AAJ,100,100
a045e00000J1bRFAAZ,Utilities,,0,a035e00000AOeOuAAL,550,500,true,a045e00000J1bR7AAJ,500,500
a045e00000J1bRQAAZ,Electricity,,0,a035e00000AOeOuAAL,551,500,true,a045e00000J1bRFAAZ,500,550
a045e00000J1bR6AAJ,Assets,,0,a035e00000AOeOnAAL,100,100,false,,100,
a045e00000J1bR7AAJ,Expenses,,0,a035e00000AOeOuAAL,500,500,true,,500,
a045e00000J1bRGAAZ,LMCU Accounts,,0,a035e00000AOeOnAAL,110,100,true,a045e00000J1bR6AAJ,100,100
a045e00000J1bRHAAZ,J and M Joint Checking,,0,a035e00000AOeOnAAL,112,100,true,a045e00000J1bRGAAZ,100,110
a045e00000J1bRLAAZ,M Checking,,0,a035e00000AOeOnAAL,117,100,true,a045e00000J1bRGAAZ,100,110
