Id,Change_Log_Entry__c,Description__c,Entity__c,HierarchyCapability__c,HierarchyEpic__c,HierarchyFeature__c,HierarchyPath__c,HierarchyProgram__c,HierarchyProject__c,HierarchySort__c,Hierarchy_Sort_Number__c,KBCAN__c,KBCard_ID__c,Name,KBCExtID__c,Level__c,Level_Number__c,LineDisplay__c,ParentKBCard__c,ParentKBCard__r.KBCAN__c,Parent_Level_Allowed__c,RecordTypeId,Status__c,Type__c,Change_Log_Entry__r.CLExtID__c,HierarchyCapability__r.KBCExtID__c,HierarchyEpic__r.KBCExtID__c,HierarchyFeature__r.KBCExtID__c,HierarchyProgram__r.KBCExtID__c,HierarchyProject__r.KBCExtID__c,ParentKBCard__r.KBCExtID__c,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
a015e00000RoupaAAB,,,,,,,,,,PRG-000001,,00000001,PRG00000001,SFLL,PRG-000001,1,,,,,0,0125e000001mxoQAAQ,1-Backlog,NA,,,,,,,,Program;KBCard__c
a015e00000U1UzCAAV,,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvrAAF,a015e00000U1VENAA3,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000084FEA00000102STO00000099,,00000099,STO00000099,Chart of Account Type Reports,STO00000099,6,,,a015e00000U1VENAA3,00000102,5,0125e000001mxoSAAQ,1-Backlog,NA,,IE_S-001,EPC00000084,FEA00000102,PRG-000001,SFLL-000006,FEA00000102,Story;KBCard__c
a015e00000U1VEpAAN,,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvwAAF,a015e00000U1UzBAAV,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000085FEA00000091STO00000105,,00000105,STO00000105,Balance Sheet Dashboard,STO00000105,6,,,a015e00000U1UzBAAV,00000091,5,0125e000001mxoSAAQ,1-Backlog,NA,,IE_S-001,EPC00000085,FEA00000091,PRG-000001,SFLL-000006,FEA00000091,Story;KBCard__c
a015e00000U1VEoAAN,,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvrAAF,a015e00000U1VENAA3,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000084FEA00000102STO00000104,,00000104,STO00000104,Chart of Accounts Reports,STO00000104,6,,,a015e00000U1VENAA3,00000102,5,0125e000001mxoSAAQ,1-Backlog,NA,,IE_S-001,EPC00000084,FEA00000102,PRG-000001,SFLL-000006,FEA00000102,Story;KBCard__c
a015e00000U1VEnAAN,,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvrAAF,a015e00000U1VENAA3,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000084FEA00000102STO00000103,,00000103,STO00000103,Chart of Accounts Records,STO00000103,6,,,a015e00000U1VENAA3,00000102,5,0125e000001mxoSAAQ,1-Backlog,NA,,IE_S-001,EPC00000084,FEA00000102,PRG-000001,SFLL-000006,FEA00000102,Story;KBCard__c
a015e00000U1V4tAAF,,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvrAAF,a015e00000U1UykAAF,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000084FEA00000090STO00000101,,00000101,STO00000101,Chart of Accounts UI & List,STO00000101,6,,,a015e00000U1UykAAF,00000090,5,0125e000001mxoSAAQ,1-Backlog,NA,,IE_S-001,EPC00000084,FEA00000090,PRG-000001,SFLL-000006,FEA00000090,Story;KBCard__c
a015e00000RouppAAB,,,Imo Enterprises (IE),,,,,a015e00000RoupaAAB,,PRG-000001SFLL-000006,,00000007,PRJ00000007,IE_S,SFLL-000006,2,,,a015e00000RoupaAAB,00000001,1,0125e000001mxoRAAQ,2-In Progress,Software,,,,,PRG-000001,,PRG-000001,Project;KBCard__c
a015e00000U1UykAAF,a005e00000KyCINAA3,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvrAAF,,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000084FEA00000090,,00000090,FEA00000090,"Chart of Accounts Object, UI, & List",FEA00000090,5,,,a015e00000U1UvrAAF,00000084,4,0125e000001mxoPAAQ,1-Backlog,NA,CLExtID-0015,IE_S-001,EPC00000084,,PRG-000001,SFLL-000006,EPC00000084,Feature;KBCard__c
a015e00000U1V3WAAV,a005e00000E4J1vAAF,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvrAAF,a015e00000U1VENAA3,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000084FEA00000102STO00000098,,00000098,STO00000098,Chart of Account Types Records,STO00000098,6,,,a015e00000U1VENAA3,00000102,5,0125e000001mxoSAAQ,3-Completed,NA,CLExtID-0012,IE_S-001,EPC00000084,FEA00000102,PRG-000001,SFLL-000006,FEA00000102,Story;KBCard__c
a015e00000U1UzBAAV,,,Imo Enterprises (IE),a015e00000RpMlmAAF,a015e00000U1UvwAAF,,,a015e00000RoupaAAB,a015e00000RouppAAB,PRG-000001SFLL-000006IE_S-001EPC00000085FEA00000091,,00000091,FEA00000091,Balance Sheet Dashboard & Reports,FEA00000091,5,,,a015e00000U1UvwAAF,00000085,4,0125e000001mxoPAAQ,1-Backlog,NA,,IE_S-001,EPC00000085,,PRG-000001,SFLL-000006,EPC00000085,Feature;KBCard__c
