Date update,Child Id,Child Lookup Id Field,Child Lookup Reference Field,Child SObject,Parent SObject,Parent ExternalId Field,Missing expected parent ExternalID value
2023-01-02  11:33:13.773,a015e00000U1UzCAAV,HierarchyCapability__c,HierarchyCapability__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,IE_S-001
2023-01-02  11:33:13.773,a015e00000U1UzCAAV,HierarchyEpic__c,HierarchyEpic__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,EPC00000084
2023-01-02  11:33:13.773,a015e00000U1UzCAAV,HierarchyFeature__c,HierarchyFeature__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,FEA00000102
2023-01-02  11:33:13.773,a015e00000U1UzCAAV,HierarchyProject__c,HierarchyProject__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,SFLL-000006
2023-01-02  11:33:13.773,a015e00000U1UzCAAV,ParentKBCard__c,ParentKBCard__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,FEA00000102
2023-01-02  11:33:13.773,a015e00000U1VEpAAN,HierarchyCapability__c,HierarchyCapability__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,IE_S-001
2023-01-02  11:33:13.773,a015e00000U1VEpAAN,HierarchyEpic__c,HierarchyEpic__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,EPC00000085
2023-01-02  11:33:13.773,a015e00000U1VEpAAN,HierarchyFeature__c,HierarchyFeature__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,FEA00000091
2023-01-02  11:33:13.773,a015e00000U1VEpAAN,HierarchyProject__c,HierarchyProject__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,SFLL-000006
2023-01-02  11:33:13.773,a015e00000U1VEpAAN,ParentKBCard__c,ParentKBCard__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,FEA00000091
2023-01-02  11:33:13.773,a015e00000U1VEoAAN,HierarchyCapability__c,HierarchyCapability__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,IE_S-001
2023-01-02  11:33:13.773,a015e00000U1VEoAAN,HierarchyEpic__c,HierarchyEpic__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,EPC00000084
2023-01-02  11:33:13.773,a015e00000U1VEoAAN,HierarchyFeature__c,HierarchyFeature__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,FEA00000102
2023-01-02  11:33:13.773,a015e00000U1VEoAAN,HierarchyProject__c,HierarchyProject__r.KBCExtID__c,KBCard__c,KBCard__c,KBCExtID__c,SFLL-000006
